m047
247.97849
226.18217
223.99057
234.49554
330.7995
397.88495
261.79272
221.49228
227.52655
232.95981
264.83606
259.0418
252.37433
253.37292
254.9657
254.81686
254.6911
256.1955
252.75627
253.13878
