m000,m001,m003,m004,m005,m006,m007,m009,m010,m012,m013,m014,m015,m016,m017,m018,m019,m020,m022,m023,m024,m025,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m040,m041,m042,m044,m045,m046,m047,m049,m051,m052,m053,m054,m055,m056,m057,m059,m061,m062,m063
9.703203338987874,9.701154644548502,9.704803030256242,9.707131129330108,9.71236550371095,9.710950090771536,9.71112705149384,9.708633004201678,9.710068828670225,9.712051655515548,9.712687284683563,9.70898145585413,9.706436070082042,9.712504850506207,9.712055574888396,9.708822161009188,9.710929657498106,9.712549352639849,9.711684735247202,9.711935778516148,9.710656303632344,9.709932344174824,9.708345717006656,9.70956206210712,9.713624896611272,9.711865542880652,9.709617011807362,9.710188735230732,9.707714132295022,9.710242488030334,9.708090354918555,9.71274411591485,9.698594231966224,9.70293300622828,9.710564850705577,9.70860213171887,9.705102743171878,9.707205182319301,9.708697382485992,9.691813567388275,9.700336044919073,9.692054174385838,9.706635819212792,9.705073114343485,9.702111277425486,9.710683505179357,9.701479832723495,9.70248177516587,9.698867939782742,9.695214153226953,9.70411219147111,9.706425817760355,9.704796104706844
9.583837512510426,9.57294428879024,9.566941787548892,9.577548467074969,9.578470186571927,9.578997448783772,9.582738687948694,9.579531286143277,9.586112500778952,9.588520595481015,9.580017010879727,9.580075157036028,9.569619449816223,9.585469146262454,9.576547506320093,9.571731215407482,9.570245937361618,9.575440265226769,9.579942011724816,9.577787790576814,9.576179683368393,9.580396765510555,9.569076583339942,9.57850821323882,9.577037339512051,9.58212530012219,9.578184190268878,9.572338453698084,9.582028239642243,9.585331094956825,9.580206825190073,9.585088760427947,9.570809394071519,9.574828415111904,9.577796729662309,9.578065819978132,9.573892936956396,9.579933793295549,9.580269354522327,9.57062783913985,9.572043319717846,9.56574202906525,9.586166262327918,9.57795302206845,9.574404820831226,9.576996118064168,9.576800449685962,9.584736101094782,9.56865723271928,9.57649731987725,9.586377719680002,9.58417872112287,9.586019830780499
9.457474076957674,9.447748941268275,9.442257988451274,9.449469462511976,9.44585543228636,9.456031339309657,9.456192779752556,9.457536716730932,9.461615011385463,9.458945761012398,9.458556873125861,9.45537526721821,9.44481292505311,9.459157939243955,9.45963390087964,9.454858284982032,9.453019484633604,9.452113672801678,9.45767625855655,9.453003592404825,9.456015371570548,9.452082520016901,9.449570036063516,9.455335959622715,9.441464966375268,9.459946881808662,9.45341158911446,9.45035617385775,9.461332557216705,9.45971356441922,9.449531391390236,9.459647077122911,9.45025343622928,9.446624097239079,9.455313177584825,9.459586873900987,9.451878131854805,9.455824760004454,9.458492584330767,9.445284520525732,9.45189079062514,9.437019794328615,9.459703084678841,9.447282968486968,9.452201250037325,9.456267032074788,9.44997960024599,9.45803709180469,9.452371263528631,9.457495578924425,9.45866519704911,9.459732676995245,9.455627375116746
9.32638795327791,9.326238120260705,9.32252989510298,9.328909230816603,9.32741950770949,9.327882220315226,9.32627266003945,9.330319317165225,9.330702237503976,9.328724590857584,9.330394801103555,9.32617883769148,9.32220622605233,9.331268006739673,9.327604338731346,9.323691977540708,9.320636805479053,9.323757516903393,9.332113468840785,9.326408146737633,9.328028099382276,9.322285304666321,9.322237529666959,9.32357394638107,9.3265795018002,9.329991483017618,9.33036493911965,9.317812128845306,9.33157363028472,9.330706676931475,9.326902418077864,9.327935531340504,9.321570949752749,9.326235217231345,9.328208716810982,9.328502668917189,9.322609095637594,9.327815659604529,9.325260952832668,9.317890786530437,9.32163561746222,9.310636603971098,9.330800215588338,9.330292313944957,9.324590247184815,9.327854207222206,9.323712342798428,9.328033317650455,9.324972851271445,9.326384140543755,9.330724204054937,9.330635476522293,9.328895070809718
9.198905912775922,9.196091574270321,9.193380191207131,9.199336531473325,9.202026146343721,9.198695187764837,9.200384962344248,9.201784506187538,9.202364699174732,9.198892789335865,9.203545923818579,9.199793917463476,9.191199915244237,9.202122173797555,9.197875815007858,9.195641191791546,9.190095600187329,9.1920805825738,9.199250316931451,9.201301228148061,9.199359213833576,9.193085744204192,9.194152731535304,9.193762129006645,9.202069230021019,9.197026016452824,9.201328249537017,9.193155915447177,9.20142168585599,9.202506722074858,9.193542973052407,9.201332582079054,9.193308267925884,9.200147343481849,9.199308828612775,9.200108889982467,9.192911143550846,9.197065313958745,9.198452986031699,9.189454473417936,9.193793039277802,9.179917659643186,9.201650869691246,9.19992295937854,9.190226549533058,9.198450941768261,9.19483985578003,9.200386233314486,9.194218161729504,9.196864103751725,9.202032415915077,9.202619463616616,9.201693852729484
9.069578009471904,9.064895858951322,9.06944059417056,9.071391002816467,9.073939723427575,9.069475590985883,9.070475730342942,9.072546960176602,9.073018286370347,9.070743072186934,9.071514284033613,9.0704548704148,9.066463693618953,9.06896088387757,9.071391765105293,9.067860734173982,9.066408631630077,9.0654431050285,9.069828821253513,9.069733435051969,9.06886551132583,9.064842583052467,9.06569887361363,9.06607803344572,9.070196411913528,9.07191669128976,9.074109718290817,9.067278557476175,9.073846838367356,9.071949952279414,9.06616968625662,9.071579682518303,9.062415150270777,9.070023492202646,9.070878460480143,9.071755368732818,9.063318398982734,9.069304670270611,9.069956043483431,9.05985948431513,9.065664975789462,9.056747009501475,9.071052589459827,9.069349318992979,9.06267183698849,9.070776343827744,9.064038116929565,9.070740568313052,9.069534018487175,9.069321805262646,9.072407690016167,9.07410224864798,9.068861908370172
8.941594643723068,8.937942989289366,8.93523028053332,8.940565835459168,8.942749543979884,8.943965446041185,8.938687185821747,8.9442323306298,8.944610859607511,8.940423991089476,8.94221313500323,8.940303363081236,8.936509650649127,8.942772592698761,8.940816960520934,8.935715205336196,8.93806618939794,8.934016692776892,8.941237313184999,8.938903114256938,8.940044948758754,8.931000611945574,8.935278854762544,8.936205500851045,8.93882133863528,8.94257033327524,8.947604710163997,8.933930792759496,8.94324555133258,8.943063346664614,8.93493920266641,8.94436161596037,8.932900332061026,8.940454499008089,8.941363064227524,8.942858715200467,8.937565830229728,8.940664345571482,8.942800554807498,8.932436977817003,8.934681520725707,8.932507729024469,8.944538540206125,8.943496172072242,8.935757621002791,8.941946727357882,8.93637690029786,8.944469553233112,8.940098466156355,8.938761920858088,8.944972352744193,8.943372361868722,8.941075573876464
8.811913864995928,8.809237130013754,8.80629422476579,8.814053268285603,8.814825338524438,8.811860067573816,8.81163940011061,8.81422681153814,8.815844177856613,8.81304788293068,8.81363580965168,8.810934968912095,8.806192581443414,8.813024964858007,8.811265494285928,8.810114067253119,8.804867919587938,8.805000107495728,8.813138576380512,8.81349722529279,8.812072627323536,8.805657922405754,8.804243199421979,8.807807126020798,8.813711176509045,8.814937321724106,8.814956044892877,8.80917327933247,8.814714336778108,8.816554640771322,8.81155425007711,8.813901613474645,8.805915913444359,8.812032652359921,8.812205138887961,8.812277593540834,8.803745147971133,8.807536122361482,8.810592931264642,8.802763785192441,8.8080690299604,8.80326893543608,8.815055601182713,8.808681822097489,8.80680226224139,8.813981978276265,8.803854437369452,8.81355985502347,8.809959032278211,8.813617411932558,8.813824590440992,8.815726786514269,8.81367489504478
8.684277617249142,8.679723770432192,8.683764249938154,8.685241752727967,8.685048831086805,8.68343352087907,8.682065224667461,8.685377343880013,8.684692771139831,8.685688654773438,8.685801688626093,8.682638013659458,8.677402979280737,8.684712475022073,8.681983068859122,8.679482004280235,8.676295164250014,8.679496825116715,8.681535953214848,8.685423006050662,8.683247332999311,8.674591106032723,8.677994122165476,8.678492703466542,8.680997382075478,8.679948445476615,8.686678943420755,8.675168397156352,8.683364405703932,8.685706746400992,8.681336124265695,8.684971125324836,8.67726208983968,8.683061158951821,8.683227989969652,8.68373682749984,8.678411147607383,8.683757219847713,8.68007061688882,8.673881641848894,8.679632094739128,8.675772099807734,8.686726910919994,8.684692165017031,8.676791802740185,8.685643887508,8.677932010179084,8.684763560412913,8.681782946446345,8.68345043286282,8.683468090718968,8.686206549098785,8.683828940179458
8.551394928893076,8.551891195716065,8.551569535539715,8.556046869942866,8.555552895502135,8.551568270174485,8.552001362732444,8.55845464522759,8.557956844674491,8.557255155867045,8.555612897243956,8.552314181831887,8.549814021331533,8.557281493222039,8.553232419141006,8.548412366925886,8.548445709988977,8.552636080154917,8.553591427442353,8.55486507809835,8.55168007599089,8.551814258288394,8.54762613120638,8.54903301104624,8.54969150140547,8.554428967292665,8.558389475298856,8.543839501990144,8.555613878230407,8.556180304245366,8.551879636887998,8.557366878901556,8.547398043023652,8.554544204535489,8.554178847040147,8.55328081005874,8.5477410135352,8.554906322637787,8.554749101293782,8.543838433357271,8.54815273342915,8.547390520442788,8.557305746888312,8.556422224623939,8.546218016770688,8.554877958416625,8.549734016053165,8.555589908488292,8.548494454254474,8.552947724572622,8.55643922492152,8.556751118746515,8.554328016679909
8.423796326052951,8.419883068931837,8.420745566876578,8.42369445576506,8.425698034810251,8.425098417501728,8.424574344942114,8.428400897206147,8.428846119937685,8.425359210358932,8.427394549302285,8.425358297925563,8.417142004488742,8.42773586833914,8.425525527417335,8.427240956125218,8.421206274173061,8.4168432807421,8.425984320656543,8.425090289058671,8.424635101758309,8.418226081107532,8.424905987215771,8.419857836303544,8.421232383499245,8.426575815337838,8.427894415655638,8.41739747195167,8.424737523419822,8.427408003533397,8.419260191248608,8.427214696325134,8.419025675066639,8.424495691108762,8.425784533025553,8.425341337489591,8.420722249602468,8.424081284435168,8.42362792653784,8.416654978089722,8.418467612121063,8.415296806372671,8.427201179496034,8.424562292494851,8.418732878369669,8.424183093932308,8.419059175259834,8.426732861002227,8.423061710478366,8.423268149722931,8.424980271875013,8.426723009989573,8.425418534885024
8.295301913366897,8.291730672815692,8.294739918327549,8.296762514549506,8.295600204223131,8.295638978276253,8.296892495012075,8.299378545503831,8.298216869420742,8.297934646185022,8.299469384815866,8.294900595663414,8.29228751142524,8.299648948157781,8.298941824399002,8.287784032926444,8.28849081549435,8.292547692764515,8.29815413462492,8.295805731488345,8.295488784269326,8.293350989450042,8.290596218176281,8.290183996615612,8.295501447826044,8.294682576331883,8.29858689161923,8.288530503813089,8.297433779791243,8.300162107655613,8.292893906724977,8.297000417353422,8.28882871124929,8.2967809593581,8.294558612753852,8.295611330274184,8.291861168313906,8.294245970325193,8.294805796352641,8.286856994206413,8.291496008478285,8.289111611260584,8.299819373170335,8.296523981837918,8.289227293169509,8.295862317248087,8.290410389683734,8.29814459067974,8.297435362736639,8.297324331869376,8.298451163024804,8.30012878091299,8.295539432791415
8.164675497416612,8.164014594865977,8.162581020380406,8.171295058374264,8.169626157535765,8.165007966711386,8.165724809885011,8.170272260104346,8.169668976464216,8.166715592781683,8.168049017273601,8.165659409359813,8.15931031986708,8.16942520704511,8.164970092442141,8.163887071670379,8.165056671031556,8.16149054182444,8.167810141366257,8.167353875840963,8.167334782609739,8.160430166354324,8.15980780656198,8.161342629986734,8.1674496957995,8.170538157419035,8.172283439999593,8.159762928904593,8.167171393598025,8.168922189949154,8.161926295734029,8.169399110754979,8.161256679480653,8.166025143038002,8.168154158935204,8.167336187811959,8.161778047467761,8.16365417529835,8.164164211503689,8.156754612588465,8.158722802628416,8.160114982304075,8.168739947683042,8.167899462802144,8.162868963483554,8.166843172120528,8.160078120830576,8.165590894779557,8.164316679093632,8.165902497279596,8.168306519052408,8.166741757432293,8.170369231224406
8.037710735238202,8.036926200492767,8.037100017064095,8.03663260263184,8.039590965995053,8.037509853257449,8.03631742545563,8.0406682535517,8.041037258411567,8.039636133912968,8.03826522919385,8.037421889007968,8.030546338452162,8.038814633697202,8.03643313855266,8.030299670948216,8.030594829857753,8.029040102221936,8.035077644889267,8.038448417182632,8.034666451452646,8.034988254818172,8.028240457696205,8.032537156456165,8.03752771681755,8.041374052339284,8.040625647178347,8.026948011075225,8.04057920497204,8.040435057599764,8.034570260299724,8.038995166669094,8.031018163709541,8.038867922662105,8.037988101430543,8.039098120280523,8.033649119471036,8.038715796215008,8.03986395378615,8.029165422864526,8.032228847561624,8.029691202687511,8.041792804549642,8.03834479573902,8.029918766766038,8.03787866075341,8.031768150742412,8.036490058021533,8.038600627356955,8.035685468654199,8.040699920677248,8.039427751640185,8.037605811765912
