m000,m001,m003,m004,m005,m006,m007,m009,m010,m012,m013,m014,m015,m016,m017,m018,m019,m020,m022,m023,m024,m025,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m040,m041,m042,m044,m045,m046,m047,m049,m051,m052,m053,m054,m055,m056,m057,m059,m061,m062,m063
17.803745,14.006422,15.41295,21.700907,15.667731,15.099636,26.564495,14.911727,15.899736,15.191837,15.565005,15.283172,17.08775,14.433386,15.37515,16.754564,15.86087,44.57918,15.572977,14.719663,15.004457,11.649162,16.855764,13.741837,15.550212,15.87246,14.525342,18.084538,14.529415,17.016413,14.370604,14.82621,14.426905,14.59998,14.550089,15.629325,14.086105,12.145199,15.290164,16.529491,16.117805,16.609806,18.480495,13.843679,14.529156,14.127253,14.482029,16.775217,13.789553,12.447433,15.197388,15.500275,14.415613
17.799532,14.008212,15.410732,21.694977,15.667015,15.096142,26.566948,14.909943,15.893998,15.190886,15.56704,15.279735,17.086098,14.44029,15.37628,16.752777,15.859289,44.58367,15.569623,14.71613,15.004713,11.644906,16.85337,13.742186,15.551828,15.868109,14.522863,18.081049,14.526216,17.016647,14.3723545,14.817475,14.428488,14.599726,14.544111,15.622864,14.08445,12.147808,15.280861,16.5228,16.1184,16.607407,18.475492,13.850203,14.531703,14.123924,14.482342,16.786171,13.787171,12.446637,15.198936,15.500387,14.416432
17.79707,14.003324,15.411054,21.68732,15.663929,15.096361,26.550575,14.905217,15.89288,15.183092,15.558167,15.27952,17.080341,14.440304,15.379764,16.744972,15.854624,44.590305,15.567164,14.717723,15.005282,11.643184,16.855267,13.740369,15.549567,15.8691025,14.5174675,18.0837,14.523569,17.013643,14.372722,14.809971,14.421335,14.594154,14.540107,15.6195,14.084808,12.14713,15.279354,16.514687,16.114794,16.60878,18.46966,13.844995,14.526934,14.124293,14.473698,16.772156,13.786609,12.445654,15.197872,15.502338,14.417471
17.790258,13.999735,15.408388,21.678692,15.665205,15.088295,26.544113,14.903198,15.898132,15.187166,15.55958,15.269485,17.068691,14.432141,15.373819,16.740805,15.850256,44.600132,15.5588,14.712408,14.997955,11.642872,16.853294,13.741952,15.548753,15.868446,14.514498,18.083233,14.519042,17.010376,14.361842,14.805704,14.416362,14.596854,14.535637,15.621981,14.078188,12.143084,15.278782,16.513357,16.113825,16.603004,18.47298,13.833994,14.527989,14.119978,14.470856,16.766098,13.784495,12.445408,15.197884,15.502832,14.416088
17.786747,13.998272,15.415134,21.690517,15.662212,15.089317,26.538748,14.903564,15.897556,15.184328,15.561287,15.270063,17.072636,14.426586,15.37151,16.738491,15.848445,44.581905,15.55599,14.709779,14.991835,11.645773,16.857754,13.744017,15.548054,15.866518,14.516277,18.08115,14.517294,17.005814,14.366358,14.800909,14.415625,14.590737,14.532108,15.619383,14.074233,12.143793,15.272562,16.511444,16.107704,16.601551,18.471722,13.829644,14.524338,14.117718,14.468971,16.759018,13.781801,12.4436,15.19599,15.501856,14.417898
17.7838,14.001379,15.411752,21.700745,15.660942,15.093029,26.544533,14.903744,15.90213,15.181881,15.564395,15.269658,17.072706,14.427366,15.372466,16.740982,15.8513565,44.57731,15.557365,14.709979,14.988331,11.646395,16.850773,13.737854,15.549553,15.863743,14.52383,18.07777,14.520111,17.013447,14.362558,14.800038,14.41618,14.596113,14.530319,15.620209,14.07218,12.144912,15.277725,16.517859,16.106735,16.59573,18.471527,13.828289,14.523418,14.114773,14.469353,16.763687,13.781685,12.444056,15.197893,15.503252,14.412603
17.792616,14.009938,15.411586,21.698746,15.663047,15.096427,26.563625,14.909838,15.905094,15.18341,15.574915,15.272949,17.07468,14.430354,15.374319,16.748446,15.857675,44.5982,15.56578,14.707315,14.998487,11.646462,16.852856,13.744272,15.545378,15.867531,14.534481,18.081146,14.51915,17.018656,14.362654,14.800055,14.42031,14.59978,14.532822,15.624063,14.074747,12.148462,15.273893,16.523064,16.111073,16.598629,18.475216,13.8322735,14.527454,14.1209755,14.469084,16.763638,13.783747,12.444168,15.201379,15.503335,14.417942
17.797066,14.012554,15.419685,21.711632,15.669018,15.108847,26.572332,14.914881,15.907896,15.179033,15.579714,15.278418,17.078754,14.434887,15.377033,16.749722,15.865913,44.6158,15.570358,14.713867,15.000272,11.647335,16.852068,13.746439,15.541492,15.875864,14.546658,18.082455,14.526321,17.020327,14.371021,14.803822,14.4275255,14.602437,14.539328,15.625594,14.074074,12.150532,15.27648,16.529457,16.11219,16.602142,18.474472,13.837996,14.53793,14.125023,14.470121,16.769861,13.788881,12.449284,15.204347,15.50713,14.423792
17.804737,14.012903,15.413002,21.725172,15.673337,15.114258,26.585388,14.919336,15.912907,15.183996,15.588073,15.283018,17.082962,14.441254,15.380463,16.75759,15.870857,44.614746,15.579126,14.717386,14.998091,11.647501,16.873344,13.743353,15.548092,15.872447,14.553137,18.07976,14.529342,17.015121,14.379278,14.810355,14.432865,14.60742,14.541651,15.639623,14.075046,12.155979,15.278187,16.534382,16.120895,16.603975,18.478207,13.8389015,14.540722,14.135202,14.4807205,16.781265,13.793346,12.452793,15.218611,15.519192,14.432295
17.808746,14.022179,15.429182,21.734612,15.674461,15.120525,26.58318,14.925205,15.915331,15.189066,15.600351,15.284827,17.092981,14.442173,15.385497,16.760988,15.875046,44.610786,15.582977,14.721519,14.9991455,11.656731,16.873264,13.751846,15.551603,15.883566,14.5584545,18.088661,14.538469,17.029388,14.383942,14.813571,14.43068,14.610886,14.550858,15.639357,14.07363,12.159176,15.280703,16.542013,16.125103,16.613506,18.49192,13.84722,14.540972,14.140109,14.480819,16.790287,13.801029,12.4575405,15.22789,15.51956,14.433495
