m000,m001,m003,m004,m005,m006,m007,m009,m010,m012,m013,m014,m015,m016,m017,m018,m019,m020,m022,m023,m024,m025,m027,m028,m029,m030,m031,m032,m033,m034,m035,m036,m037,m038,m040,m041,m042,m044,m045,m046,m047,m049,m051,m052,m053,m054,m055,m056,m057,m059,m061,m062,m063
23.777554,20.50629,20.662361,26.276558,22.718288,24.832886,40.997986,21.371693,22.952648,-85.5659,22.84063,-95.539536,23.021614,-104.60069,-157.6394,22.832083,20.666924,59.352043,-150.32263,22.05646,24.196785,16.926674,23.414577,-136.59674,23.291492,21.407791,21.040245,23.946835,-164.43379,-259.02893,-27.288311,-16.918564,-52.383667,21.99622,22.204103,20.327835,19.977154,-458.3414,-15.984851,24.387482,23.467335,-117.23,22.008194,20.294456,-142.70657,21.543753,-276.33487,-48.250587,-109.63394,20.538023,-122.131615,-343.78168,-291.48694
23.778522,20.507298,20.663181,26.282711,22.711378,24.832455,40.999718,21.369598,22.961052,-85.55381,22.835659,-95.50637,23.018505,-104.59273,-157.61879,22.833328,20.662617,59.36089,-150.33449,22.055275,24.193903,16.927094,23.416517,-136.61612,23.287697,21.411892,21.046326,23.943928,-164.48993,-258.93253,-27.291706,-16.915447,-52.38439,21.991161,22.192064,20.325537,19.974392,-458.46472,-15.975421,24.389719,23.4663,-117.19308,22.00547,20.291119,-142.67372,21.541555,-276.2502,-48.2545,-109.63437,20.534563,-122.125206,-343.53455,-291.431
23.772789,20.517273,20.663836,26.289963,22.71297,24.83236,40.997284,21.36738,22.954403,-85.59502,22.819332,-95.54168,23.024109,-104.5923,-157.61224,22.82943,20.661253,59.357594,-150.33261,22.057156,24.184587,16.930359,23.41301,-136.56926,23.285881,21.412273,21.049576,23.93648,-164.47737,-258.81854,-27.286526,-16.914062,-52.379944,21.989342,22.197052,20.333439,19.972013,-458.55573,-15.972927,24.393766,23.458113,-117.22628,21.99765,20.288696,-142.69707,21.546387,-276.2586,-48.23897,-109.66209,20.53191,-122.11173,-343.43982,-291.35492
23.770628,20.510883,20.668999,26.298656,22.712395,24.836023,40.99784,21.372562,22.951578,-85.58149,22.818127,-95.574615,23.021244,-104.58452,-157.69742,22.824425,20.67045,59.38276,-150.35085,22.054295,24.180239,16.921398,23.426598,-136.61566,23.28348,21.412521,21.05835,23.946102,-164.43427,-258.85406,-27.29663,-16.911333,-52.384644,21.978891,22.202164,20.343102,19.976826,-458.65897,-15.972665,24.396795,23.458496,-117.26085,22.001442,20.286427,-142.62892,21.550488,-276.37103,-48.242416,-109.68463,20.531193,-122.16674,-343.41797,-291.36426
23.763428,20.5182,20.667679,26.299763,22.711498,24.83717,40.99009,21.374424,22.941298,-85.59672,22.830011,-95.59932,23.02341,-104.59718,-157.68338,22.817537,20.680862,59.39142,-150.3659,22.05091,24.19553,16.926058,23.42078,-136.63187,23.292614,21.414768,21.055056,23.95691,-164.40616,-258.93164,-27.301891,-16.913963,-52.373863,21.986185,22.196766,20.34314,19.980675,-458.61066,-15.978419,24.392422,23.466904,-117.25867,21.999336,20.28764,-142.63872,21.542288,-276.38904,-48.25402,-109.7135,20.52727,-122.165596,-343.4336,-291.4124
23.759415,20.503227,20.666298,26.295406,22.712492,24.835588,40.97039,21.379444,22.9397,-85.586655,22.816454,-95.53306,23.023914,-104.59227,-157.68768,22.826588,20.676262,59.392815,-150.33913,22.052105,24.208504,16.923607,23.416595,-136.66364,23.294365,21.417093,21.048203,23.946905,-164.47559,-259.00775,-27.307297,-16.914398,-52.36029,21.992231,22.20488,20.349081,19.973888,-458.51117,-15.969456,24.389778,23.465134,-117.218155,22.004051,20.29338,-142.62775,21.531105,-276.39423,-48.25324,-109.68232,20.528473,-122.1749,-343.60272,-291.39508
23.753963,20.502178,20.670506,26.2878,22.70573,24.832317,40.963295,21.369272,22.94283,-85.607315,22.81921,-95.51974,23.01172,-104.56902,-157.6878,22.821009,20.67265,59.370598,-150.31207,22.055847,24.222118,16.927204,23.422855,-136.59558,23.282532,21.423609,21.044174,23.950842,-164.38889,-258.93878,-27.304234,-16.91279,-52.363125,21.986895,22.19651,20.336887,19.969158,-458.5568,-15.966486,24.388023,23.459507,-117.17348,21.99845,20.28545,-142.64594,21.525822,-276.3345,-48.251495,-109.61806,20.528349,-122.12916,-343.66077,-291.39044
23.74934,20.504377,20.686626,26.306381,22.708193,24.824768,40.96454,21.366528,22.955154,-85.550766,22.82412,-95.53926,23.015148,-104.53455,-157.65634,22.82054,20.666832,59.350967,-150.29774,22.056347,24.218866,16.92704,23.422125,-136.63702,23.287882,21.422834,21.046371,23.950975,-164.36871,-259.01428,-27.30237,-16.902275,-52.35308,21.98848,22.182175,20.32854,19.96666,-458.60385,-15.963596,24.392101,23.456606,-117.15807,22.000134,20.287823,-142.61873,21.52772,-276.37714,-48.22109,-109.64578,20.524345,-122.16092,-343.53302,-291.42203
23.753242,20.507057,20.684301,26.311375,22.705322,24.823614,40.964653,21.358536,22.952442,-85.54115,22.815361,-95.535095,23.01965,-104.52614,-157.70853,22.821716,20.673512,59.368065,-150.29172,22.054756,24.211964,16.93747,23.423286,-136.62068,23.28763,21.426685,21.051884,23.951998,-164.35364,-259.0864,-27.304134,-16.899376,-52.34166,21.986324,22.18343,20.330154,19.964703,-458.6443,-15.967068,24.400192,23.455383,-117.18184,21.99673,20.2812,-142.59259,21.537907,-276.38382,-48.235504,-109.66609,20.521694,-122.15594,-343.64447,-291.32523
23.759579,20.512726,20.686497,26.317867,22.713537,24.822678,40.97447,21.360985,22.960993,-85.52858,22.823471,-95.556435,23.021013,-104.52953,-157.76524,22.820507,20.671864,59.40889,-150.31535,22.062744,24.213543,16.937235,23.42638,-136.62029,23.290878,21.428553,21.05936,23.95007,-164.35008,-259.18234,-27.306269,-16.900549,-52.341827,21.987812,22.18892,20.338047,19.966429,-458.68597,-15.967377,24.394152,23.45369,-117.23931,21.98404,20.283958,-142.59723,21.545143,-276.45093,-48.236336,-109.73146,20.515648,-122.092476,-343.58063,-291.1264
23.765816,20.511478,20.70105,26.31724,22.720913,24.82882,40.985603,21.3698,22.966398,-85.565956,22.832428,-95.58879,23.040062,-104.57111,-157.80963,22.832794,20.681728,59.39805,-150.38698,22.06174,24.219284,16.949554,23.416943,-136.70178,23.287012,21.42802,21.06358,23.956244,-164.44452,-259.2675,-27.312454,-16.906658,-52.36364,21.994808,22.187428,20.3389,19.978586,-458.71088,-15.977507,24.39656,23.454346,-117.31196,21.987165,20.285515,-142.62253,21.540148,-276.42978,-48.250618,-109.772934,20.516487,-122.13321,-343.61438,-291.39084
23.76646,20.512754,20.703676,26.31349,22.724678,24.835638,40.99311,21.381649,22.980917,-85.58441,22.837381,-95.608246,23.049576,-104.60373,-157.81499,22.830612,20.684395,59.410515,-150.45688,22.065233,24.220184,16.955536,23.432184,-136.7292,23.303131,21.422623,21.073082,23.959822,-164.45737,-259.31143,-27.322887,-16.913269,-52.369415,22.004559,22.20352,20.348114,19.986565,-458.78894,-15.981236,24.40363,23.464382,-117.354004,21.98788,20.292896,-142.63443,21.548618,-276.32916,-48.244957,-109.77314,20.519054,-122.15439,-343.74677,-291.4663
23.769207,20.518353,20.709606,26.319002,22.731194,24.8334,41.00317,21.385868,22.99162,-85.576675,22.84927,-95.65201,23.046766,-104.66316,-157.84802,22.830013,20.688398,59.408005,-150.50311,22.074947,24.227924,16.965477,23.437737,-136.73468,23.305325,21.429955,21.076809,23.958118,-164.46854,-259.48917,-27.328278,-16.919363,-52.386166,22.0059,22.215656,20.359367,19.992409,-458.90997,-15.985123,24.420021,23.479858,-117.30527,21.9945,20.291786,-142.65244,21.548944,-276.47482,-48.262383,-109.781586,20.526907,-122.12656,-343.80096,-291.72058
23.7738,20.529436,20.722555,26.326233,22.751835,24.849869,41.029816,21.389421,22.993038,-85.590164,22.862816,-95.67688,23.047523,-104.68706,-157.91658,22.842836,20.692652,59.42279,-150.52559,22.085604,24.242672,16.968273,23.44506,-136.80615,23.312782,21.442104,21.087399,23.964497,-164.50146,-259.6325,-27.335651,-16.923615,-52.38757,22.01881,22.228258,20.354288,19.998165,-459.02545,-15.983422,24.433136,23.501572,-117.28894,22.007614,20.293533,-142.6717,21.566673,-276.5396,-48.289223,-109.75636,20.541061,-122.1317,-343.80984,-292.02066
23.786955,20.53677,20.729748,26.326344,22.764675,24.872461,41.05549,21.398115,23.000675,-85.61061,22.876167,-95.6861,23.045414,-104.74967,-157.97876,22.854889,20.703215,59.432487,-150.59006,22.094952,24.254038,16.97855,23.463371,-136.86153,23.331707,21.449165,21.11012,23.951439,-164.52744,-259.62762,-27.349833,-16.925543,-52.400314,22.029408,22.227865,20.362848,20.000765,-459.17987,-15.985635,24.453056,23.513136,-117.35859,22.020088,20.30451,-142.68973,21.57373,-276.63455,-48.316086,-109.81691,20.549183,-122.18899,-344.03894,-292.19598
23.80679,20.550644,20.738815,26.333984,22.785408,24.88739,41.081642,21.41027,23.0118,-85.632034,22.896461,-95.69755,23.066755,-104.79811,-158.06076,22.863907,20.710768,59.46493,-150.6015,22.101618,24.245056,16.98454,23.473503,-136.90533,23.340118,21.471294,21.125341,23.968433,-164.61076,-259.79828,-27.36695,-16.929508,-52.419956,22.040176,22.23977,20.37173,20.011415,-459.33972,-15.980764,24.455128,23.532364,-117.45042,22.029537,20.311638,-142.72034,21.591763,-276.6767,-48.340454,-109.85452,20.553692,-122.23674,-344.02863,-292.36847
23.818241,20.562122,20.735994,26.35014,22.80678,24.904995,41.089886,21.427872,23.027546,-85.66919,22.921677,-95.69307,23.07946,-104.879814,-158.16194,22.869482,20.72918,59.49206,-150.68192,22.10775,24.24743,16.99214,23.488241,-137.0274,23.355446,21.479021,21.142273,23.975203,-164.72366,-260.13217,-27.375008,-16.931787,-52.438564,22.04713,22.246704,20.37455,20.014446,-459.3994,-15.984861,24.459213,23.55333,-117.58516,22.03856,20.325909,-142.80109,21.598671,-276.77148,-48.369583,-109.95885,20.566988,-122.29034,-344.1525,-292.47458
23.836906,20.58031,20.737343,26.353813,22.812328,24.922483,41.11474,21.440475,23.039062,-85.69075,22.945072,-95.73973,23.095055,-104.99541,-158.2571,22.875427,20.74902,59.510437,-150.78839,22.124567,24.263453,16.994047,23.49866,-137.12808,23.373314,21.494612,21.163513,23.982328,-164.77748,-260.28015,-27.4081,-16.949238,-52.48436,22.071613,22.264807,20.380793,20.023157,-459.6051,-16.000568,24.492197,23.58075,-117.67483,22.050507,20.335337,-142.86676,21.609516,-276.95898,-48.39004,-110.03241,20.579702,-122.38014,-344.36243,-292.692
23.860353,20.590923,20.75468,26.370913,22.82624,24.939419,41.1254,21.45689,23.06396,-85.732254,22.97318,-95.81032,23.105047,-105.1241,-158.42207,22.890873,20.778225,59.52681,-150.91098,22.14478,24.268784,17.008976,23.506992,-137.23434,23.392563,21.50076,21.175766,23.986452,-164.93066,-260.50708,-27.431725,-16.962143,-52.529938,22.091291,22.289732,20.41032,20.035147,-459.93527,-16.02054,24.50472,23.604397,-117.70847,22.071133,20.352306,-143.01822,21.630995,-277.2188,-48.416374,-110.09921,20.593895,-122.43475,-344.45712,-293.00662
23.878284,20.609446,20.760147,26.39271,22.841515,24.950714,41.160038,21.473036,23.0823,-85.77937,23.012442,-95.906815,23.137245,-105.18226,-158.46402,22.91941,20.793266,59.569633,-151.00356,22.162952,24.282467,17.032461,23.530664,-137.31833,23.412914,21.52127,21.193296,24.006065,-164.996,-260.72644,-27.459963,-16.97482,-52.57609,22.116539,22.304468,20.428022,20.052193,-460.21075,-16.02475,24.529915,23.626421,-117.7522,22.088917,20.365187,-143.17696,21.647554,-277.49353,-48.45147,-110.15751,20.610432,-122.52315,-344.698,-293.179
23.913454,20.635975,20.786873,26.397808,22.859154,24.975033,41.215347,21.500244,23.10634,-85.85594,23.035038,-95.98205,23.160738,-105.29146,-158.63147,22.937992,20.80832,59.54953,-151.18604,22.189266,24.310284,17.049295,23.554619,-137.53308,23.432549,21.543856,21.232443,24.016798,-165.18663,-260.88214,-27.481705,-16.99462,-52.62081,22.13562,22.320702,20.446766,20.066341,-460.76785,-16.03646,24.569944,23.64875,-117.88396,22.110294,20.383842,-143.31548,21.665565,-277.81683,-48.51837,-110.29636,20.622671,-122.6249,-344.91895,-293.44366
23.942013,20.665173,20.815584,26.421137,22.876568,25.005371,41.25579,21.52328,23.12798,-85.97604,23.05626,-96.04267,23.181799,-105.37767,-158.78589,22.956745,20.832779,59.543484,-151.28972,22.207666,24.332287,17.068544,23.5815,-137.62054,23.444378,21.55114,21.263216,24.0386,-165.45494,-261.0706,-27.500526,-17.004047,-52.674576,22.15587,22.345095,20.47712,20.085094,-461.32465,-16.050665,24.584127,23.677496,-118.00294,22.1255,20.405085,-143.45776,21.675198,-278.15747,-48.57506,-110.481415,20.641617,-122.71496,-345.05643,-293.5121
23.962755,20.682331,20.844654,26.45045,22.892086,25.012894,41.290295,21.541985,23.151358,-86.02077,23.05347,-96.167145,23.212843,-105.515625,-158.8677,22.970861,20.852959,59.572994,-151.34402,22.219282,24.344833,17.078152,23.596481,-137.81088,23.460264,21.587418,21.282799,24.06615,-165.69731,-261.34253,-27.527302,-17.019201,-52.71911,22.169916,22.383818,20.517172,20.107006,-461.8587,-16.066664,24.59947,23.700397,-118.20056,22.13654,20.417875,-143.6399,21.689796,-278.40063,-48.612705,-110.6384,20.661734,-122.80994,-345.3133,-293.7697
23.98264,20.695942,20.866299,26.474583,22.898544,25.021465,41.302345,21.56749,23.16055,-86.089455,23.070305,-96.27977,23.239204,-105.65344,-159.03421,22.9777,20.88464,59.581554,-151.49434,22.22656,24.346725,17.089872,23.603302,-137.9402,23.486609,21.596985,21.297161,24.094515,-165.77666,-261.5146,-27.546963,-17.031628,-52.772152,22.181087,22.398546,20.539207,20.127834,-462.11554,-16.077671,24.616302,23.722816,-118.26008,22.158968,20.425806,-143.84906,21.696892,-278.8117,-48.651966,-110.68016,20.67037,-122.91881,-345.388,-294.06906
24.003193,20.70718,20.881111,26.508627,22.907518,25.022217,41.29655,21.587288,23.17112,-86.12863,23.08944,-96.38597,23.256813,-105.778694,-159.00919,22.998531,20.893608,59.586376,-151.6127,22.244043,24.365307,17.106857,23.612411,-138.0196,23.49638,21.606737,21.310658,24.124233,-165.9519,-261.67105,-27.57251,-17.039555,-52.807148,22.202354,22.424202,20.554876,20.14933,-462.3119,-16.097012,24.632317,23.740807,-118.30998,22.167656,20.440754,-143.99258,21.691025,-279.05432,-48.68026,-110.768364,20.68705,-122.999146,-345.59778,-294.49664
24.021248,20.71492,20.891397,26.509233,22.899086,25.030611,41.323475,21.60586,23.178356,-86.228195,23.105194,-96.39462,23.271172,-105.82118,-159.08992,23.007088,20.901882,59.613907,-151.72949,22.24856,24.376083,17.125784,23.616425,-138.10585,23.503271,21.606606,21.338657,24.136,-166.03072,-261.77563,-27.590923,-17.05289,-52.823883,22.213776,22.456291,20.569527,20.164433,-462.68854,-16.103027,24.64457,23.75821,-118.332016,22.186337,20.460974,-144.11594,21.68546,-279.23602,-48.737904,-110.79881,20.69816,-123.09569,-345.9407,-294.6712
24.038101,20.727285,20.911558,26.511906,22.904034,25.040386,41.340355,21.621387,23.18099,-86.252975,23.132551,-96.45004,23.282036,-105.90244,-159.10971,23.022373,20.903706,59.620537,-151.79504,22.252378,24.39838,17.137688,23.625475,-138.20149,23.51403,21.605,21.359426,24.137321,-166.14322,-262.08545,-27.599483,-17.054588,-52.864613,22.225964,22.460613,20.58387,20.191679,-462.86133,-16.11177,24.669682,23.77703,-118.3362,22.201717,20.45784,-144.20316,21.69749,-279.56094,-48.724094,-110.9142,20.698368,-123.19026,-345.9723,-294.8206
24.0542,20.74681,20.927818,26.53186,22.905884,25.041418,41.368744,21.63155,23.178553,-86.29428,23.143755,-96.44916,23.306206,-105.95373,-159.16791,23.034935,20.902391,59.64194,-151.8216,22.255184,24.417616,17.155607,23.635656,-138.3183,23.517899,21.594624,21.38812,24.150785,-166.32233,-262.34973,-27.611555,-17.061613,-52.87598,22.23021,22.482264,20.59804,20.214306,-463.2445,-16.10988,24.685148,23.790302,-118.493195,22.21219,20.471504,-144.34552,21.703274,-279.71182,-48.78403,-111.08925,20.708733,-123.2611,-346.23804,-294.7682
24.076773,20.750814,20.944065,26.554028,22.912275,25.053883,41.39252,21.641594,23.186832,-86.39226,23.159801,-96.52479,23.322126,-106.02569,-159.31058,23.045124,20.90961,59.648617,-151.9451,22.253859,24.402107,17.163397,23.643211,-138.47748,23.53215,21.612793,21.419617,24.169598,-166.4834,-262.4867,-27.630173,-17.072695,-52.87689,22.228416,22.485893,20.61764,20.231785,-463.18167,-16.116581,24.685438,23.815147,-118.557755,22.230814,20.47691,-144.43085,21.733871,-280.04883,-48.804886,-111.25786,20.72303,-123.320114,-346.5111,-294.82678
24.106918,20.758228,20.963331,26.579117,22.927654,25.073177,41.41386,21.652298,23.191328,-86.45975,23.17855,-96.60353,23.342978,-106.17039,-159.3578,23.065292,20.923765,59.672264,-152.01814,22.249699,24.422707,17.173588,23.660091,-138.53323,23.54635,21.6231,21.436888,24.200583,-166.61118,-262.8058,-27.651047,-17.085588,-52.9338,22.243301,22.518574,20.637882,20.255436,-463.6337,-16.131706,24.697826,23.834694,-118.685905,22.255417,20.501875,-144.59784,21.754688,-280.32745,-48.818222,-111.37991,20.734764,-123.48583,-346.82123,-295.1695
